index,status,train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
0,ok,1800,160,0.05,48,0.6,0.8,50,0.001,0.01,30,0.34476133770659356,1.8550124837159219,0.07306520399679842,0.5350125633641134,1796,158,0.2716961337097952
1,ok,1800,200,0.05,31,0.7,0.6,30,0.001,0.1,10,0.2947319650367921,1.3384928707995873,0.062318097203230505,0.34815317982472327,1796,158,0.2324138678335616
2,ok,1800,280,0.03,48,0.6,0.7,80,0.0,0.001,10,0.20784586611029657,0.9642445519907774,0.06435236766828405,0.3231486473830202,1796,158,0.14349349844201253
3,ok,1800,200,0.07,48,0.6,0.6,80,0.0,0.1,30,0.23449199325560427,1.18598960264835,0.0638291072513616,0.35920929632615073,1796,158,0.17066288600424268
4,ok,1800,240,0.03,16,0.8,0.6,30,0.0,0.01,10,0.23363751685904524,1.0761049903858761,0.06253877578211814,0.33357527784134594,1796,158,0.1710987410769271
5,ok,1800,280,0.05,16,0.6,0.8,30,0.01,0.1,10,0.28123814344491427,1.3951354248200145,0.06577452317062663,0.3895133142465839,1796,158,0.21546362027428764
6,ok,1800,280,0.05,16,0.8,0.6,50,0.01,0.001,10,0.23153582856680496,1.107950852742047,0.051141774600720835,0.27677834299678505,1796,158,0.18039405396608413
7,ok,1800,160,0.03,31,0.8,0.7,80,0.01,0.001,10,0.20093344388689532,0.9546521187538622,0.06536656438354335,0.31925869451579025,1796,158,0.13556687950335197
8,ok,1800,160,0.05,48,0.7,0.6,80,0.001,0.001,20,0.2190508200173479,1.055550036086596,0.06495222561331934,0.3324984860484079,1796,158,0.15409859440402857
9,ok,1800,160,0.07,16,0.7,0.8,30,0.0,0.01,10,0.2760049833001357,1.3734379344481014,0.05274102923044606,0.351713234037435,1796,158,0.22326395406968963
10,ok,1800,160,0.07,16,0.6,0.7,80,0.001,0.001,20,0.23398548605142214,1.166738211185029,0.06687124676657262,0.3788353623873827,1796,158,0.16711423928484953
11,ok,1800,240,0.05,48,0.7,0.8,80,0.01,0.001,10,0.23864316327154364,1.1852984124806105,0.06527952642276243,0.3626380806055525,1796,158,0.1733636368487812
12,ok,1800,200,0.03,16,0.7,0.6,50,0.0,0.01,30,0.2699704662247587,1.334201914954999,0.0667849907702101,0.3346217517050286,1796,158,0.20318547545454857
13,ok,1800,240,0.05,16,0.8,0.7,50,0.01,0.001,30,0.2939110699423277,1.4882058873304955,0.07317770184666546,0.41800516147116257,1796,158,0.22073336809566224
14,ok,1800,160,0.07,16,0.7,0.6,80,0.01,0.001,10,0.19857502196680432,0.94126926437284,0.06290950851245371,0.3483950983399852,1796,158,0.13566551345435063
15,ok,1800,280,0.03,31,0.6,0.6,80,0.01,0.01,10,0.19539381809908335,0.9288360798760159,0.06557362167144122,0.33453768079817,1796,158,0.12982019642764214
16,ok,1800,200,0.07,16,0.6,0.8,50,0.0,0.1,30,0.3043350787252346,1.5878312724769938,0.05888654927632488,0.39722043291318015,1796,158,0.24544852944890969
17,ok,1800,240,0.05,31,0.8,0.7,50,0.001,0.01,30,0.30012216109719414,1.5146681408114877,0.07179213226005932,0.426730377482942,1796,158,0.22833002883713482
18,ok,1800,200,0.07,16,0.6,0.6,80,0.001,0.01,20,0.22201462164278166,1.0899964276293839,0.06020431381644363,0.32369227842589454,1796,158,0.16181030782633804
19,ok,1800,200,0.07,16,0.8,0.7,30,0.0,0.01,30,0.28784323920107713,1.4651379135957432,0.06166383514264903,0.4359041053964184,1796,158,0.2261794040584281
20,ok,1800,200,0.05,16,0.6,0.6,30,0.01,0.1,30,0.2730248980521936,1.3234052385037376,0.0734756642126471,0.3971425186423868,1796,158,0.19954923383954648
21,ok,1800,280,0.07,31,0.7,0.6,80,0.01,0.1,10,0.1992874609404394,0.941047546552298,0.0627008217766808,0.3380446136399547,1796,158,0.13658663916375857
22,ok,1800,200,0.05,31,0.7,0.7,80,0.0,0.001,10,0.22520754578494592,1.0794083965853678,0.06721937471487568,0.3535394368644855,1796,158,0.15798817107007024
23,ok,1800,160,0.03,48,0.7,0.7,80,0.01,0.1,30,0.2572195533615282,1.283907745640003,0.06780183540684227,0.3601738049184735,1796,158,0.18941771795468593
24,ok,1800,160,0.05,16,0.7,0.7,50,0.001,0.01,10,0.2566169072244641,1.2592979654839502,0.06623274365874775,0.4081052066812441,1796,158,0.19038416356571636
25,ok,1800,160,0.05,16,0.6,0.7,50,0.01,0.01,20,0.2866905733282032,1.4264010233836892,0.07452684702390794,0.45082164328838914,1796,158,0.21216372630429525
26,ok,1800,200,0.05,48,0.8,0.8,30,0.0,0.1,30,0.4109022932475264,2.3025980852893024,0.06073832333283003,0.41797659143251414,1796,158,0.3501639699146964
27,ok,1800,200,0.07,31,0.8,0.7,50,0.0,0.1,30,0.29673538979119635,1.4786619409605992,0.06467976595011832,0.3811188515600971,1796,158,0.23205562384107803
28,ok,1800,200,0.07,16,0.8,0.6,30,0.0,0.1,10,0.24620169684181045,1.1694737976838385,0.06691768288813288,0.39079316434070355,1796,158,0.17928401395367757
29,ok,1800,280,0.05,31,0.6,0.7,50,0.001,0.1,10,0.2748838472608295,1.358740696301823,0.058735185232408144,0.32788253752931956,1796,158,0.21614866202842134
30,ok,1800,160,0.03,16,0.8,0.6,30,0.01,0.01,20,0.28208069735426017,1.3867556474451033,0.0724209687085236,0.3791435784658127,1796,158,0.20965972864573656
31,ok,1800,200,0.07,16,0.6,0.7,30,0.001,0.001,20,0.2793978084331642,1.3732134767070934,0.054839493977396306,0.2888879153250796,1796,158,0.2245583144557679
32,ok,1800,280,0.05,48,0.7,0.6,30,0.0,0.001,30,0.33068406764923997,1.5916789066809467,0.06411368197798263,0.38683677872343736,1796,158,0.26657038567125735
33,ok,1800,240,0.05,16,0.8,0.6,50,0.01,0.001,30,0.25936612944348836,1.2825300340757646,0.05543983898628701,0.3019030931476169,1796,158,0.20392629045720134
34,ok,1800,160,0.05,31,0.8,0.7,50,0.0,0.01,30,0.30518730774989683,1.5544113874452616,0.07199464299073749,0.42651239139351277,1796,158,0.23319266475915934
35,ok,1800,160,0.03,31,0.6,0.6,50,0.01,0.1,30,0.2744230075087739,1.3438942976775343,0.07512835623575999,0.3703240332466867,1796,158,0.19929465127301393
36,ok,1800,200,0.07,48,0.7,0.6,50,0.01,0.01,10,0.23626051405627374,1.1183063614920115,0.05531116795291422,0.3027742944116733,1796,158,0.18094934610335953
37,ok,1800,280,0.03,31,0.6,0.8,30,0.01,0.1,10,0.3551498372261937,1.7867609467036485,0.07463969492243606,0.39579480760132485,1796,158,0.28051014230375765
38,ok,1800,280,0.03,31,0.7,0.7,80,0.01,0.001,10,0.21670192044866074,1.0440891512648764,0.06817852174411969,0.3568270950642304,1796,158,0.14852339870454107
39,ok,1800,240,0.05,16,0.8,0.6,50,0.0,0.01,20,0.2548580764718088,1.2718959171076436,0.05947894101856468,0.31737158214122974,1796,158,0.19537913545324412
40,ok,1800,280,0.03,48,0.8,0.7,30,0.001,0.1,20,0.3690562188043638,1.8838721703158208,0.06602457049005615,0.38134389973364863,1796,158,0.3030316483143076
41,ok,1800,200,0.07,48,0.7,0.6,30,0.01,0.1,30,0.33602849696154624,1.693757691535262,0.06023007235040472,0.3237320436206587,1796,158,0.2757984246111415
42,ok,1800,240,0.05,48,0.8,0.8,50,0.001,0.001,10,0.2994278146343804,1.489697820935213,0.06360329625597073,0.3951041061938163,1796,158,0.23582451837840968
43,ok,1800,280,0.05,48,0.6,0.8,30,0.001,0.01,20,0.40647586635105853,2.186557614537583,0.06212683299509434,0.4113884193585794,1796,158,0.3443490333559642
44,ok,1800,240,0.07,16,0.7,0.7,80,0.001,0.001,20,0.2449755372619714,1.2167470966724876,0.06126752528904732,0.32297169916147095,1796,158,0.18370801197292408
45,ok,1800,160,0.05,48,0.7,0.7,80,0.0,0.1,30,0.25460867968097556,1.2604237624689716,0.0696353591188409,0.4070371171639429,1796,158,0.18497332056213467
46,ok,1800,160,0.03,16,0.7,0.7,30,0.001,0.01,20,0.29811988555100827,1.451737255546784,0.06389438516965554,0.3569702611250038,1796,158,0.23422550038135273
47,ok,1800,280,0.03,16,0.7,0.6,80,0.01,0.001,30,0.22795016248082425,1.1211960964444494,0.06369674613367984,0.35061767777922564,1796,158,0.1642534163471444
48,ok,1800,160,0.05,48,0.8,0.8,50,0.001,0.001,20,0.3299272010091425,1.7155875107305427,0.06899702921094113,0.4532707811443077,1796,158,0.2609301717982014
49,ok,1800,240,0.07,31,0.8,0.6,80,0.01,0.1,20,0.21843838044609654,1.0809433460397448,0.06805127995274117,0.3728747535299939,1796,158,0.15038710049335535
50,ok,1800,200,0.07,31,0.8,0.7,50,0.01,0.1,30,0.2988713880369761,1.506530847315163,0.06483771153443811,0.40696237471678764,1796,158,0.23403367650253798
51,ok,1800,280,0.03,48,0.6,0.8,80,0.0,0.001,20,0.24231704470923365,1.184647873672536,0.06407499456823142,0.33564712329917007,1796,158,0.17824205014100225
52,ok,1800,200,0.05,16,0.8,0.7,50,0.001,0.001,10,0.27148817464721664,1.343667688237937,0.07053051364351104,0.413903836713978,1796,158,0.2009576610037056
53,ok,1800,200,0.07,31,0.7,0.6,80,0.001,0.1,10,0.1999281120923226,0.9650172654922784,0.05991242401818763,0.34206338143894366,1796,158,0.14001568807413498
54,ok,1800,200,0.05,16,0.8,0.7,50,0.01,0.001,20,0.2879691113956378,1.4442815781528442,0.07449107864307852,0.4224513888263435,1796,158,0.21347803275255928
55,ok,1800,280,0.07,31,0.8,0.7,50,0.01,0.01,30,0.3032882764074123,1.5226952555153979,0.06489217641798714,0.4202548261866037,1796,158,0.23839609998942515
56,ok,1800,280,0.05,16,0.6,0.6,30,0.001,0.1,20,0.2784409040490725,1.361801602206005,0.06360179558462035,0.37198287459340906,1796,158,0.21483910846445214
57,ok,1800,280,0.07,16,0.7,0.7,50,0.0,0.01,20,0.2782703411442702,1.386239948930377,0.07396612694285766,0.4611938903580732,1796,158,0.20430421420141254
58,ok,1800,200,0.07,16,0.7,0.7,30,0.001,0.1,20,0.2841141957918467,1.3993124770144267,0.06029473040785661,0.35239285176996327,1796,158,0.2238194653839901
59,ok,1800,160,0.07,16,0.8,0.8,30,0.0,0.01,30,0.3034631147605675,1.5630945326633234,0.0602957147217676,0.39315731630314077,1796,158,0.24316740003879989
60,ok,1800,200,0.05,48,0.7,0.6,80,0.001,0.001,30,0.2243935500786295,1.0878264652087932,0.06482256022186905,0.33723411461399205,1796,158,0.15957098985676044
61,ok,1800,280,0.03,48,0.6,0.8,50,0.0,0.001,30,0.32643012533127025,1.6899975478547091,0.0694697793977844,0.40849089421288126,1796,158,0.2569603459334858
62,ok,1800,160,0.05,16,0.8,0.7,80,0.0,0.01,30,0.2548518134033268,1.2553444557165039,0.063253724445764,0.3741482188387694,1796,158,0.1915980889575628
63,ok,1800,200,0.07,48,0.7,0.7,80,0.01,0.1,10,0.22033153275880246,1.0685647786585424,0.061943285679842384,0.3253729355532845,1796,158,0.15838824707896007
64,ok,1800,200,0.05,48,0.6,0.6,30,0.001,0.001,10,0.28707535094715675,1.3649348239207963,0.05668334909754115,0.3139769157106374,1796,158,0.2303920018496156
65,ok,1800,160,0.07,16,0.7,0.8,30,0.01,0.1,30,0.31610382698908196,1.6091671289957798,0.0665473327426019,0.40885933708952604,1796,158,0.24955649424648008
66,ok,1800,240,0.07,31,0.7,0.8,80,0.01,0.1,20,0.2568602091936721,1.2995651003569766,0.0615759964387943,0.3498226190806548,1796,158,0.19528421275487778
67,ok,1800,240,0.05,31,0.7,0.6,80,0.0,0.001,10,0.1974346097753992,0.9297041193671189,0.061708713977972424,0.30232315365305795,1796,158,0.13572589579742678
68,ok,1800,280,0.07,48,0.7,0.8,50,0.01,0.01,30,0.3241577404916272,1.7026230773586197,0.05463585082268347,0.3424764332711082,1796,158,0.26952188966894375
69,ok,1800,280,0.05,16,0.7,0.7,80,0.01,0.1,10,0.21663355756268893,1.0553204927622417,0.06757851794469423,0.35062553608019364,1796,158,0.1490550396179947
70,ok,1800,160,0.03,48,0.8,0.6,80,0.001,0.1,30,0.2225636660769683,1.1007638256335484,0.07368272061300758,0.39080633084176675,1796,158,0.1488809454639607
71,ok,1800,280,0.03,16,0.7,0.7,30,0.01,0.1,20,0.29593646283633873,1.443452187275673,0.06568539933190129,0.3564502977571381,1796,158,0.23025106350443744
72,ok,1800,280,0.05,31,0.6,0.6,30,0.01,0.1,30,0.3400856419574846,1.70347680498525,0.0637767761888826,0.3984517189892849,1796,158,0.276308865768602
