index,status,param_train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
89,ok,1800,200,0.03,48,0.8,0.8,30,0.0,0.01,20,0.426157552442491,2.1772906396575085,0.09231727468199913,0.5080272196901925,1795,157,0.33384027776049185
90,ok,1800,240,0.07,48,0.6,0.8,80,0.001,0.01,10,0.2843701480737546,1.3667020393641014,0.09099493504253363,0.5446015085410361,1795,157,0.19337521303122096
91,ok,1800,240,0.07,48,0.7,0.8,80,0.0,0.01,30,0.3151463621963914,1.5633968765050081,0.0896922277606491,0.4937745612747673,1795,157,0.2254541344357423
92,ok,1700,200,0.03,31,0.7,0.7,50,0.001,0.1,10,0.27491226176487105,1.1599023211908759,0.07338474345496893,0.33888926664098157,1695,257,0.20152751830990212
93,ok,1800,280,0.07,48,0.6,0.7,50,0.001,0.1,10,0.31586256492847425,1.533160149947258,0.0885026271811697,0.48202542272028837,1795,157,0.22735993774730456
94,ok,1750,160,0.03,16,0.8,0.7,50,0.01,0.001,30,0.3261022136682032,1.5592266634591783,0.09083279977405996,0.49179405555142836,1745,207,0.23526941389414324
95,ok,1700,200,0.03,31,0.6,0.7,30,0.001,0.1,10,0.33850135479573995,1.4808198669349053,0.0645936088712147,0.30184128507439995,1695,257,0.27390774592452527
96,ok,1750,200,0.03,16,0.7,0.8,50,0.001,0.001,10,0.2919647357772947,1.312996012552085,0.08659030468784833,0.44341639717533515,1745,207,0.20537443108944636
97,ok,1750,280,0.03,16,0.6,0.7,30,0.01,0.1,10,0.2686430514031253,1.1711248367672102,0.0823402586478001,0.38622601146394825,1745,207,0.1863027927553252
98,ok,1750,240,0.03,48,0.7,0.8,80,0.0,0.01,10,0.2413021726927766,1.02838078213375,0.08517704833579501,0.39404704315831274,1745,207,0.1561251243569816
99,ok,1750,240,0.07,31,0.7,0.7,80,0.0,0.1,10,0.24708061616844537,1.141497485136858,0.07892505705877279,0.43303690585132476,1745,207,0.1681555591096726
100,ok,1700,280,0.03,31,0.8,0.6,30,0.001,0.001,30,0.38257348216303855,1.8704484804158625,0.0852404905513858,0.4274950474122104,1695,257,0.2973329916116527
101,ok,1750,160,0.05,31,0.7,0.7,50,0.01,0.01,10,0.31074689644583015,1.4833463996259215,0.07227175802298864,0.40403261452653083,1745,207,0.23847513842284151
