index,status,train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
0,ok,1800,160,0.05,48,0.6,0.8,50,0.001,0.01,30,0.3955636052676455,2.099868135948195,0.08886791118404068,0.4963324568776918,1793,155,0.3066956940836048
1,ok,1800,200,0.05,31,0.7,0.6,30,0.001,0.1,10,0.3688298554140765,1.8305058458329864,0.08379909019671947,0.48898957395064174,1793,155,0.28503076521735704
2,ok,1800,280,0.03,48,0.6,0.7,80,0.0,0.001,10,0.2670811925578822,1.26289198371113,0.1021596840602193,0.5587204595995374,1793,155,0.1649215084976629
3,ok,1800,200,0.07,48,0.6,0.6,80,0.0,0.1,30,0.2969469082922088,1.497864699936332,0.0899884293044802,0.5615655038970613,1793,155,0.20695847898772862
4,ok,1800,240,0.03,16,0.8,0.6,30,0.0,0.01,10,0.30492879312188553,1.443688461479119,0.09961067232864859,0.5327174510775059,1793,155,0.20531812079323694
5,ok,1800,280,0.05,16,0.6,0.8,30,0.01,0.1,10,0.3464775019644065,1.7421273952816123,0.09551174278707676,0.5633989030998282,1793,155,0.2509657591773298
6,ok,1800,280,0.05,16,0.8,0.6,50,0.01,0.001,10,0.30221483791880766,1.4329160002670926,0.08826116297054426,0.4631075879276229,1793,155,0.2139536749482634
7,ok,1800,160,0.03,31,0.8,0.7,80,0.01,0.001,10,0.2709193878364922,1.3091627132989598,0.08893709564763587,0.4882601548338618,1793,155,0.18198229218885636
8,ok,1800,160,0.05,48,0.7,0.6,80,0.001,0.001,20,0.2683063424748486,1.308835607797872,0.09583485647401983,0.5562810869525491,1793,155,0.17247148600082873
9,ok,1800,160,0.07,16,0.7,0.8,30,0.0,0.01,10,0.35596960564116187,1.766007883272776,0.09272959451210282,0.5875119972240219,1793,155,0.26324001112905904
10,ok,1800,160,0.07,16,0.6,0.7,80,0.001,0.001,20,0.3139025451794744,1.5866383697920323,0.09962905165866512,0.5647550787176203,1793,155,0.2142734935208093
11,ok,1800,240,0.05,48,0.7,0.8,80,0.01,0.001,10,0.31097960325186325,1.5385443670887573,0.10012270640870476,0.5335312594114463,1793,155,0.2108568968431585
12,ok,1800,200,0.03,16,0.7,0.6,50,0.0,0.01,30,0.3356287522379818,1.7410471487660053,0.09999313057272172,0.5496424039365115,1793,155,0.23563562166526006
13,ok,1800,240,0.05,16,0.8,0.7,50,0.01,0.001,30,0.3808707532890869,1.9794944104287377,0.10470606752851445,0.6464131185462499,1793,155,0.27616468576057246
